A,changegreedy V1,changegreedy V2,changedp V1, changedp V2
2000,36,15,36,15
2001,37,16,37,16
2002,37,17,37,17
2003,38,18,38,18
2004,34,19,34,19
2005,35,20,35,17
2006,35,16,35,16
2007,36,17,36,17
2008,36,18,36,18
2009,37,19,37,19
2010,35,20,35,20
2011,36,21,36,18
2012,36,17,36,17
2013,37,16,37,16
2014,37,17,37,17
2015,38,18,38,18
2016,35,19,34,19
2017,36,20,35,19
2018,36,21,35,18
2019,37,17,36,17
2020,37,18,36,18
2021,38,19,37,19
2022,36,20,35,18
2023,37,21,36,19
2024,37,15,36,15
2025,38,16,37,16
2026,38,17,37,17
2027,39,18,38,18
2028,34,19,34,19
2029,35,20,35,20
2030,35,16,35,16
2031,36,17,36,17
2032,36,18,36,18
2033,37,19,37,19
2034,35,20,35,20
2035,36,21,36,19
2036,36,17,36,17
2037,37,16,37,16
2038,37,17,37,17
2039,38,18,38,18
2040,34,19,34,19
2041,35,20,35,20
2042,35,21,35,18
2043,36,17,36,17
2044,36,18,36,18
2045,37,19,37,19
2046,35,20,35,20
2047,36,21,36,21
2048,36,22,36,19
2049,37,18,37,18
2050,37,17,37,17
2051,38,18,38,18
2052,35,19,35,19
2053,36,20,36,20
2054,36,21,36,20
2055,37,22,37,19
2056,37,18,37,18
2057,38,19,38,19
2058,36,20,36,20
2059,37,21,37,19
2060,37,22,37,20
2061,38,16,38,16
2062,38,17,38,17
2063,39,18,39,18
2064,35,19,35,19
2065,36,20,36,20
2066,36,21,36,21
2067,37,17,37,17
2068,37,18,37,18
2069,38,19,38,19
2070,36,20,36,20
2071,37,21,37,21
2072,37,22,37,20
2073,38,18,38,18
2074,38,17,38,17
2075,39,18,39,18
2076,36,19,35,19
2077,37,20,36,20
2078,37,21,36,21
2079,38,22,37,19
2080,38,18,37,18
2081,39,19,38,19
2082,37,20,36,20
2083,38,21,37,21
2084,38,22,37,22
2085,39,23,38,20
2086,39,19,38,19
2087,40,18,39,18
2088,35,19,35,19
2089,36,20,36,20
2090,36,21,36,21
2091,37,22,37,21
2092,37,23,37,20
2093,38,19,38,19
2094,36,20,36,20
2095,37,21,37,21
2096,37,22,37,20
2097,38,23,38,21
2098,38,17,38,17
2099,39,18,39,18
2100,35,14,35,14
2101,36,15,36,15
2102,36,16,36,16
2103,37,17,37,17
2104,37,18,37,18
2105,38,19,38,19
2106,36,15,36,15
2107,37,16,37,16
2108,37,17,37,17
2109,38,18,38,18
2110,38,19,38,19
2111,39,20,39,18
2112,36,16,36,16
2113,37,15,37,15
2114,37,16,37,16
2115,38,17,38,17
2116,38,18,38,18
2117,39,19,39,19
2118,37,20,37,17
2119,38,16,38,16
2120,38,17,38,17
2121,39,18,39,18
2122,39,19,39,19
2123,40,20,40,20
2124,36,21,36,18
2125,37,17,37,17
2126,37,16,37,16
2127,38,17,38,17
2128,38,18,38,18
2129,39,19,39,19
2130,37,20,37,19
2131,38,21,38,18
2132,38,17,38,17
2133,39,18,39,18
2134,39,19,39,19
2135,40,20,40,18
2136,37,21,36,19
2137,38,15,37,15
2138,38,16,37,16
2139,39,17,38,17
2140,39,18,38,18
2141,40,19,39,19
2142,38,20,37,20
2143,39,16,38,16
2144,39,17,38,17
2145,40,18,39,18
2146,40,19,39,19
2147,41,20,40,20
2148,36,21,36,19
2149,37,17,37,17
2150,37,16,37,16
2151,38,17,38,17
2152,38,18,38,18
2153,39,19,39,19
2154,37,20,37,20
2155,38,21,38,18
2156,38,17,38,17
2157,39,18,39,18
2158,39,19,39,19
2159,40,20,40,20
2160,36,21,36,21
2161,37,22,37,19
2162,37,18,37,18
2163,38,17,38,17
2164,38,18,38,18
2165,39,19,39,19
2166,37,20,37,20
2167,38,21,38,20
2168,38,22,38,19
2169,39,18,39,18
2170,39,19,39,19
2171,40,20,40,20
2172,37,21,37,19
2173,38,22,38,20
2174,38,16,38,16
2175,39,17,39,17
2176,39,18,39,18
2177,40,19,40,19
2178,38,20,38,20
2179,39,21,39,21
2180,39,17,39,17
2181,40,18,40,18
2182,40,19,40,19
2183,41,20,41,20
2184,37,21,37,21
2185,38,22,38,20
2186,38,18,38,18
2187,39,17,39,17
2188,39,18,39,18
2189,40,19,40,19
2190,38,20,38,20
2191,39,21,39,21
2192,39,22,39,19
2193,40,18,40,18
2194,40,19,40,19
2195,41,20,41,20
2196,38,21,37,21
2197,39,22,38,22
2198,39,23,38,20
2199,40,19,39,19
2200,40,18,39,18
